chrn,change_position
chr1,2520000
chr1,2520000
chr1,3820000
chr1,4710000
chr1,4900000
chr1,3820000
chr1,4710000
chr1,4900000
chr1,15250000
chr1,15250000
chr1,38490000
chr1,38490000
chr1,49390000
chr1,49390000
chr1,51530000
chr1,51530000
chr1,51770000
chr1,51770000
chr1,51990000
chr1,51990000
chr1,52090000
chr1,52090000
chr1,58630000
chr1,58630000
chr1,62060000
chr1,62060000
chr1,86810000
chr1,86810000
chr1,92760000
chr1,92760000
chr1,92970000
chr1,92970000
chr1,93070000
chr1,93070000
chr1,101070000
chr1,101070000
chr1,108190000
chr1,108190000
chr1,112720000
chr1,112720000
chr1,120410000
chr1,144920000
chr1,145120000
chr1,120410000
chr1,121260000
chr1,121260000
chr1,151260000
chr1,151320000
chr1,151560000
chr1,151560000
chr1,158170000
chr1,158170000
chr1,163040000
chr1,163040000
chr1,171290000
chr1,171290000
chr1,172220000
chr1,172220000
chr1,175870000
chr1,175870000
chr1,176050000
chr1,176330000
chr1,176530000
chr1,176530000
chr1,176860000
chr1,177750000
chr1,177920000
chr1,176860000
chr1,184030000
chr1,184030000
chr1,184350000
chr1,184350000
chr1,185140000
chr1,185140000
chr1,185790000
chr1,185790000
chr1,204670000
chr1,204670000
chr1,204780000
chr1,204780000
chr1,209680000
chr1,209680000
chr1,224830000
chr1,224830000
chr1,225040000
chr1,225040000
chr1,225110000
chr1,225110000
chr1,227500000
chr1,227500000
chr1,227730000
chr1,227730000
chr1,227990000
chr1,227990000
chr1,231050000
chr1,231050000
chr1,231190000
chr1,231190000
chr1,243760000
chr1,243760000
chr1,244020000
chr1,244430000
chr1,244620000
chr1,244020000
chr2,7340000
chr2,7560000
chr2,7810000
chr2,7810000
chr2,8140000
chr2,7340000
chr2,7560000
chr2,8140000
chr2,11040000
chr2,11040000
chr2,23790000
chr2,23790000
chr2,23900000
chr2,23980000
chr2,25360000
chr2,25360000
chr2,29800000
chr2,29800000
chr2,30060000
chr2,30060000
chr2,30150000
chr2,30150000
chr2,31090000
chr2,31090000
chr2,31360000
chr2,31360000
chr2,31960000
chr2,31960000
chr2,67440000
chr2,67440000
chr2,83570000
chr2,83570000
chr2,85360000
chr2,85360000
chr2,85530000
chr2,85530000
chr2,86610000
chr2,86610000
chr2,89170000
chr2,89170000
chr2,100440000
chr2,100870000
chr2,101040000
chr2,100440000
chr2,110920000
chr2,111560000
chr2,136010000
chr2,136010000
chr2,139860000
chr2,139860000
chr2,147690000
chr2,147690000
chr2,152350000
chr2,152350000
chr2,152680000
chr2,152680000
chr2,152890000
chr2,152890000
chr2,157750000
chr2,157750000
chr2,158040000
chr2,158040000
chr2,169470000
chr2,169470000
chr2,178760000
chr2,178760000
chr2,178970000
chr2,178970000
chr2,181100000
chr2,181100000
chr2,181380000
chr2,181380000
chr2,182330000
chr2,182440000
chr2,184230000
chr2,186150000
chr2,186290000
chr2,186290000
chr2,186490000
chr2,186490000
chr2,204890000
chr2,204890000
chr2,205130000
chr2,206070000
chr2,206440000
chr2,205190000
chr2,209120000
chr2,209120000
chr2,217650000
chr2,217650000
chr2,218030000
chr2,218150000
chr2,218380000
chr2,218030000
chr2,226140000
chr2,226140000
chr2,228520000
chr2,228520000
chr2,230870000
chr2,230870000
chr2,241170000
chr2,241380000
chr2,241940000
chr2,241170000
chr3,7320000
chr3,7320000
chr3,7610000
chr3,7610000
chr3,8670000
chr3,8670000
chr3,8810000
chr3,8810000
chr3,9690000
chr3,9690000
chr3,9750000
chr3,9750000
chr3,9880000
chr3,9880000
chr3,9990000
chr3,10070000
chr3,12890000
chr3,12890000
chr3,13530000
chr3,13700000
chr3,13860000
chr3,13860000
chr3,27410000
chr3,27520000
chr3,27570000
chr3,27570000
chr3,27730000
chr3,27730000
chr3,27980000
chr3,27980000
chr3,28610000
chr3,28610000
chr3,28770000
chr3,28770000
chr3,28960000
chr3,28960000
chr3,29110000
chr3,29110000
chr3,29320000
chr3,29370000
chr3,29810000
chr3,29810000
chr3,31170000
chr3,31170000
chr3,31390000
chr3,31570000
chr3,31810000
chr3,31390000
chr3,34510000
chr3,35990000
chr3,36170000
chr3,36170000
chr3,36410000
chr3,36410000
chr3,36590000
chr3,34510000
chr3,35990000
chr3,36590000
chr3,37490000
chr3,37890000
chr3,38530000
chr3,38530000
chr3,39590000
chr3,40030000
chr3,40220000
chr3,40220000
chr3,40760000
chr3,41010000
chr3,42270000
chr3,42270000
chr3,42490000
chr3,42490000
chr3,42600000
chr3,42690000
chr3,42930000
chr3,43200000
chr3,47560000
chr3,47560000
chr3,47640000
chr3,47640000
chr3,51300000
chr3,51300000
chr3,51740000
chr3,51740000
chr3,51840000
chr3,51840000
chr3,56480000
chr3,56480000
chr3,59190000
chr3,59190000
chr3,59310000
chr3,59310000
chr3,59410000
chr3,59410000
chr3,59560000
chr3,59560000
chr3,60540000
chr3,60540000
chr3,69910000
chr3,69910000
chr3,70010000
chr3,70580000
chr3,70760000
chr3,70760000
chr3,70910000
chr3,70910000
chr3,72990000
chr3,72990000
chr3,73150000
chr3,73150000
chr3,73320000
chr3,73490000
chr3,73560000
chr3,73560000
chr3,73670000
chr3,73670000
chr3,74310000
chr3,74580000
chr3,74830000
chr3,74830000
chr3,75240000
chr3,75300000
chr3,75480000
chr3,75840000
chr3,76060000
chr3,73320000
chr3,73490000
chr3,74310000
chr3,74580000
chr3,75480000
chr3,79550000
chr3,79550000
chr3,98040000
chr3,98040000
chr3,98240000
chr3,98240000
chr3,100610000
chr3,100920000
chr3,101290000
chr3,100610000
chr3,108630000
chr3,109520000
chr3,109660000
chr3,109660000
chr3,109910000
chr3,110240000
chr3,110600000
chr3,110600000
chr3,110790000
chr3,110790000
chr3,111060000
chr3,109910000
chr3,110240000
chr3,111060000
chr3,112010000
chr3,112280000
chr3,114170000
chr3,114420000
chr3,114530000
chr3,114530000
chr3,114750000
chr3,114750000
chr3,114930000
chr3,114930000
chr3,115160000
chr3,115410000
chr3,115550000
chr3,114170000
chr3,114420000
chr3,115160000
chr3,135120000
chr3,135120000
chr3,143610000
chr3,144900000
chr3,145490000
chr3,143610000
chr3,143690000
chr3,143690000
chr3,144900000
chr3,145490000
chr3,158040000
chr3,158040000
chr3,158170000
chr3,158170000
chr3,158640000
chr3,158640000
chr3,158800000
chr3,158800000
chr3,170220000
chr3,170220000
chr3,179170000
chr3,179170000
chr3,180920000
chr3,180920000
chr3,181050000
chr3,181420000
chr3,181980000
chr3,181980000
chr3,182110000
chr3,182110000
chr3,196330000
chr3,196330000
chr4,3340000
chr4,3540000
chr4,4590000
chr4,4590000
chr4,4850000
chr4,4850000
chr4,5060000
chr4,5060000
chr4,5710000
chr4,5710000
chr4,8600000
chr4,8600000
chr4,8850000
chr4,8850000
chr4,9370000
chr4,9370000
chr4,10720000
chr4,10720000
chr4,11230000
chr4,11230000
chr4,12840000
chr4,12840000
chr4,13550000
chr4,13550000
chr4,26580000
chr4,26580000
chr4,26720000
chr4,26720000
chr4,44730000
chr4,47400000
chr4,47570000
chr4,42530000
chr4,44680000
chr4,44730000
chr4,48580000
chr4,48580000
chr4,48690000
chr4,48690000
chr4,56610000
chr4,56730000
chr4,56820000
chr4,56820000
chr4,58030000
chr4,58030000
chr4,58170000
chr4,58170000
chr4,71770000
chr4,71450000
chr4,71710000
chr4,71770000
chr4,71900000
chr4,71900000
chr4,83200000
chr4,83290000
chr4,83360000
chr4,83660000
