chrn,change_position
chr1,57280000
chr1,57880000
chr1,58640000
chr1,57280000
chr1,57880000
chr1,58640000
chr1,187400000
chr1,187920000
chr1,188520000
chr1,188760000
chr1,189680000
chr1,187400000
chr1,187920000
chr1,188520000
chr1,188760000
chr1,189680000
chr1,190440000
chr1,190440000
chr1,191080000
chr1,191080000
chr1,236760000
chr1,235640000
chr1,236280000
chr1,236760000
chr2,5160000
chr2,5160000
chr2,21600000
chr2,23400000
chr2,25800000
chr2,25800000
chr2,30080000
chr2,30080000
chr2,41040000
chr2,41600000
chr2,63280000
chr2,63280000
chr2,97480000
chr2,97800000
chr2,103760000
chr2,103760000
chr2,105520000
chr2,105520000
chr2,137680000
chr2,138240000
chr2,167000000
chr2,167000000
chr2,197360000
chr2,197360000
chr2,220960000
chr2,220960000
chr2,227000000
chr2,227000000
chr2,232680000
chr2,233200000
chr3,4040000
chr3,4040000
chr3,20960000
chr3,21520000
chr3,34760000
chr3,34760000
chr3,38040000
chr3,38040000
chr3,38720000
chr3,38720000
chr3,46960000
chr3,47440000
chr3,59560000
chr3,59560000
chr3,110800000
chr3,110800000
chr3,115880000
chr3,115880000
chr3,134520000
chr3,134520000
chr3,147840000
chr3,147840000
chr4,4480000
chr4,4960000
chr4,16480000
chr4,16480000
chr4,26720000
chr4,26720000
chr4,29080000
chr4,29080000
chr4,30360000
chr4,30360000
chr4,31360000
chr4,31720000
chr4,32320000
chr4,35920000
chr4,36400000
chr4,31360000
chr4,31720000
chr4,34760000
chr4,61640000
chr4,60040000
chr4,61120000
chr4,61640000
chr4,65880000
chr4,64120000
chr4,65480000
chr4,65880000
chr4,67080000
chr4,67560000
chr4,75040000
chr4,75040000
chr4,92040000
chr4,93040000
chr4,99040000
chr4,99040000
chr4,116800000
chr4,116800000
chr4,145080000
chr4,145720000
chr4,171480000
chr4,171480000
chr4,171840000
chr4,173120000
chr4,173760000
chr4,171840000
chr4,172760000
chr4,172760000
chr4,173120000
chr4,173760000
chr4,182040000
chr4,182480000
chr4,182840000
chr4,182040000
chr4,187160000
chr4,187160000
chr4,187520000
chr4,187520000
chr5,7240000
chr5,7240000
chr5,103760000
chr5,103760000
chr6,5040000
chr6,5040000
chr6,6040000
chr6,6640000
chr6,7240000
chr6,5040000
chr6,5440000
chr6,6040000
chr6,55120000
chr6,55120000
chr6,63560000
chr6,63560000
chr6,108000000
chr6,108000000
chr6,114680000
chr6,115040000
chr6,118160000
chr6,118600000
chr7,78560000
chr7,78920000
chr7,79400000
chr7,79400000
chr7,142300000
chr7,142300000
chr7,142520000
chr7,141240000
chr7,142080000
chr7,142520000
chr8,22880000
chr8,22880000
chr8,55440000
chr8,55440000
chr8,55680000
chr8,55680000
chr8,70000000
chr8,70000000
chr8,89880000
chr8,90240000
chr8,93080000
chr8,93080000
chr8,93840000
chr8,93840000
chr9,38640000
chr9,43960000
chr9,44640000
chr9,38640000
chr9,84720000
chr9,85240000
chr9,90560000
chr9,90560000
chr9,90760000
chr9,90760000
chr9,113800000
chr9,113800000
chr9,126800000
chr9,127120000
chr9,127640000
chr9,126800000
chr9,127640000
chr9,127640000
chr10,58200000
chr10,58200000
chr10,82400000
chr10,84160000
chr10,84520000
chr10,84520000
chr10,84720000
chr10,85160000
chr10,85880000
chr10,84720000
chr10,85160000
chr10,85880000
chr10,86520000
chr10,86520000
chr10,98360000
chr10,98360000
chr10,127400000
chr10,127400000
chr11,30120000
chr11,30120000
chr11,35240000
chr11,35240000
chr11,47880000
chr11,47880000
chr11,94880000
chr11,94880000
chr11,96720000
chr11,96720000
chr11,112680000
chr11,112680000
chr12,28720000
chr12,28720000
chr12,60480000
chr12,60480000
chr12,108320000
chr12,108320000
chr12,121000000
chr12,121000000
chr13,61200000
chr13,62000000
chr13,66880000
chr13,66880000
chr13,68840000
chr13,68840000
chr13,72080000
chr13,72560000
chr13,72840000
chr13,72840000
chr13,79160000
chr13,79160000
chr13,79560000
chr13,79560000
chr13,83360000
chr13,83360000
chr13,83560000
chr13,84360000
chr13,92800000
chr13,93360000
chr13,93560000
chr13,93560000
chr13,93880000
chr13,92800000
chr13,93360000
chr13,93880000
chr13,96640000
chr13,96640000
chr14,41720000
chr14,41720000
chr14,42560000
chr14,42560000
chr14,42720000
chr14,44360000
chr14,44640000
chr14,42720000
chr14,43960000
chr14,43960000
chr14,51360000
chr14,51360000
chr14,59560000
chr14,59560000
chr14,70000000
chr14,70000000
chr14,104520000
chr14,104520000
chr15,30400000
chr15,30400000
chr15,31080000
chr15,31080000
chr15,45720000
chr15,45720000
chr16,4720000
chr16,4720000
chr16,58520000
chr16,58520000
chr16,65720000
chr16,65720000
chr17,8280000
chr17,8280000
chr17,27440000
chr17,27440000
chr17,27640000
chr17,27640000
chr17,41840000
chr17,41840000
chr17,71720000
chr17,71720000
chr18,10800000
chr18,10800000
chr18,69720000
chr18,69720000
chr18,70800000
chr18,70800000
chr19,6000000
chr19,6000000
chr19,31520000
chr19,31520000
chr20,10400000
chr20,10640000
chr20,36200000
chr20,36200000
chr20,42720000
chr20,42720000
chr22,18640000
chr22,18640000
chr22,18840000
chr22,19440000
chr22,21680000
chr22,21680000
chr22,22720000
chr22,22720000
chrX,34960000
chrX,34960000
chrX,70920000
chrX,70920000
chrX,75360000
chrX,75720000
chrX,101320000
chrX,101720000
chr3,60480000
chr3,60920000
chr10,16400000
chr10,16840000
chr10,17320000
chr10,16400000
chr19,21160000
chr19,21160000
chr20,41200000
chr20,41200000
chrX,7920000
chrX,9280000
chr1,6520000
chr1,40920000
chr1,51680000
chr1,92720000
chr1,108680000
chr1,109720000
chr1,160960000
chr1,162560000
chr1,171280000
chr1,176320000
chr1,185280000
chr1,193760000
chr1,239120000
chr2,9560000
chr2,57000000
chr2,83440000
chr2,100440000
chr2,108520000
chr2,126320000
chr2,128280000
chr2,172400000
chr2,206560000
chr2,220240000
chr3,28920000
chr3,49520000
chr3,57040000
chr3,66220000
chr3,73880000
chr3,74720000
chr3,89160000
chr3,98920000
chr3,105080000
chr3,121120000
chr3,123240000
chr3,137760000
chr3,146920000
chr3,163200000
chr4,18080000
chr4,36920000
chr4,44760000
chr4,64400000
chr4,139440000
chr5,9560000
chr5,17520000
chr5,22280000
chr5,25040000
chr5,35560000
chr5,38200000
chr5,42080000
chr5,53040000
chr5,83480000
chr5,95920000
chr5,119840000
chr5,123960000
chr5,152520000
chr5,161600000
chr5,174880000
chr6,3280000
chr6,14600000
chr6,17800000
chr6,31080000
chr6,32200000
chr6,70360000
chr6,71720000
chr6,89240000
chr6,126720000
chr6,128440000
chr6,130600000
chr6,131880000
chr6,164440000
chr7,39000000
chr7,40800000
chr7,42280000
chr7,55680000
chr7,64080000
chr7,68920000
chr7,73480000
chr7,103200000
chr7,118560000
chr7,123760000
chr7,126040000
chr7,136560000
chr7,136840000
chr8,4880000
chr8,34760000
chr8,78480000
chr8,84040000
chr8,97800000
chr8,105520000
chr8,106400000
chr8,135040000
chr9,1640000
chr9,10320000
chr9,15120000
chr9,24680000
chr9,76960000
chr9,77800000
chr9,112160000
chr9,137720000
chr10,13120000
chr10,14560000
chr10,25400000
chr10,37200000
chr10,59440000
chr10,105640000
chr11,2040000
chr11,7520000
chr11,16240000
chr11,66240000
chr11,71480000
chr11,84040000
chr11,84440000
chr11,120800000
chr11,125320000
chr11,126080000
chr12,33760000
chr12,83800000
chr12,118280000
chr12,123280000
chr12,124240000
chr12,128600000
chr13,38560000
chr13,38640000
chr13,46720000
chr13,56560000
chr13,63680000
chr13,75160000
chr14,23720000
chr14,24440000
chr14,25160000
chr14,28720000
chr14,55640000
chr14,58560000
chr14,65640000
chr14,80520000
chr14,88920000
chr15,42200000
chr15,48280000
chr15,101120000
chr16,15440000
chr16,19080000
chr16,20400000
chr16,47200000
chr16,47720000
chr16,73960000
chr17,7120000
chr17,29080000
chr17,57680000
chr17,72720000
chr18,6880000
chr18,6920000
chr18,14400000
chr18,24920000
chr18,37160000
chr18,53560000
chr18,61160000
chr18,63360000
chr18,73480000
chr19,4800000
chr19,7400000
chr19,29400000
chr19,36000000
chr20,1200000
chr20,13800000
chr20,38200000
chr21,31360000
chrX,7280000
chrX,41000000
chrX,47680000
chrX,49640000
chrX,71800000
chrX,76840000
