	Matrix	Chromosome	Distance	Contacts	Number_bins	Scale_factor
0	HMEC	all	0	20629.085577062935	6206	0.9988267405184803
1	HMEC	all	500000	3954.548952325415	6182	0.9988267405184803
2	HMEC	all	1000000	1117.315883967815	6158	0.9988267405184803
3	HMEC	all	1500000	562.1927823209884	6134	0.9988267405184803
4	HMEC	all	2000000	344.4279350687912	6110	0.9988267405184803
5	HMEC	all	2500000	239.65811314539803	6086	0.9988267405184803
6	HMEC	all	3000000	183.8049243589193	6062	0.9988267405184803
	Matrix	Chromosome	Distance	Contacts	Number_bins	Scale_factor
0	HCC70	all	0	14344.620416264253	6206	0.9953878644935932
1	HCC70	all	500000	4059.3827985731996	6182	0.9953878644935932
2	HCC70	all	1000000	1411.465830704083	6158	0.9953878644935932
3	HCC70	all	1500000	773.4814524539772	6134	0.9953878644935932
4	HCC70	all	2000000	504.3151425717817	6110	0.9953878644935932
5	HCC70	all	2500000	368.7868086049693	6086	0.9953878644935932
6	HCC70	all	3000000	291.7552083186085	6062	0.9953878644935932
	Matrix	Chromosome	Distance	Contacts	Number_bins	Scale_factor
0	BT549	all	0	17749.037882182147	6206	0.9804118097797224
1	BT549	all	500000	3596.0761939263807	6182	0.9804118097797224
2	BT549	all	1000000	1157.802471123981	6158	0.9804118097797224
3	BT549	all	1500000	642.9265347966032	6134	0.9804118097797224
4	BT549	all	2000000	432.8215652059873	6110	0.9804118097797224
5	BT549	all	2500000	322.9027706835684	6086	0.9804118097797224
6	BT549	all	3000000	258.3807165309566	6062	0.9804118097797224
	Matrix	Chromosome	Distance	Contacts	Number_bins	Scale_factor
0	MB231	all	0	14068.20904055814	6206	1.0
1	MB231	all	500000	4893.1245491351565	6182	1.0
2	MB231	all	1000000	1610.5249097350966	6158	1.0
3	MB231	all	1500000	825.3359061829814	6134	1.0
4	MB231	all	2000000	508.9596886543541	6110	1.0
5	MB231	all	2500000	352.4463644393546	6086	1.0
6	MB231	all	3000000	268.4297403731969	6062	1.0
