	Matrix	Chromosome	Distance	Contacts	Number_bins	Scale_factor
0	HMEC	all	0	3067.431250872436	30970	0.9773703275862551
1	HMEC	all	100000	809.2320982009907	30946	0.9773703275862551
2	HMEC	all	200000	316.8399105033469	30922	0.9773703275862551
3	HMEC	all	300000	203.64633549490608	30898	0.9773703275862551
4	HMEC	all	400000	145.10363574974653	30874	0.9773703275862551
5	HMEC	all	500000	109.37663838426748	30850	0.9773703275862551
6	HMEC	all	600000	86.27141598566901	30826	0.9773703275862551
7	HMEC	all	700000	69.48924958940282	30802	0.9773703275862551
8	HMEC	all	800000	57.50784160502419	30778	0.9773703275862551
9	HMEC	all	900000	48.505745221457694	30754	0.9773703275862551
10	HMEC	all	1000000	41.62210572893827	30730	0.9773703275862551
11	HMEC	all	1100000	35.748383443691516	30706	0.9773703275862551
12	HMEC	all	1200000	31.220705416279916	30682	0.9773703275862551
13	HMEC	all	1300000	27.504193620295776	30658	0.9773703275862551
14	HMEC	all	1400000	24.223049807415695	30634	0.9773703275862551
15	HMEC	all	1500000	21.8391708151343	30610	0.9773703275862551
16	HMEC	all	1600000	19.739069948850563	30586	0.9773703275862551
17	HMEC	all	1700000	17.816987742297094	30562	0.9773703275862551
18	HMEC	all	1800000	16.097930402859415	30538	0.9773703275862551
19	HMEC	all	1900000	14.902015906749382	30514	0.9773703275862551
20	HMEC	all	2000000	13.725179326504408	30490	0.9773703275862551
21	HMEC	all	2100000	12.79000928442418	30466	0.9773703275862551
22	HMEC	all	2200000	11.956022116334015	30442	0.9773703275862551
23	HMEC	all	2300000	10.81237917452109	30418	0.9773703275862551
24	HMEC	all	2400000	10.30537959608176	30394	0.9773703275862551
25	HMEC	all	2500000	9.503205836990897	30370	0.9773703275862551
26	HMEC	all	2600000	8.920259100427097	30346	0.9773703275862551
27	HMEC	all	2700000	8.525742198616753	30322	0.9773703275862551
28	HMEC	all	2800000	8.060610250995847	30298	0.9773703275862551
29	HMEC	all	2900000	7.6380400896454805	30274	0.9773703275862551
30	HMEC	all	3000000	7.220009525965195	30250	0.9773703275862551
	Matrix	Chromosome	Distance	Contacts	Number_bins	Scale_factor
0	HCC70	all	0	1950.5879322961007	30970	0.9947328961786173
1	HCC70	all	100000	695.1627112059085	30946	0.9947328961786173
2	HCC70	all	200000	303.2906755758709	30922	0.9947328961786173
3	HCC70	all	300000	209.24219266015012	30898	0.9947328961786173
4	HCC70	all	400000	157.50384279734018	30874	0.9947328961786173
5	HCC70	all	500000	124.09524299845691	30850	0.9947328961786173
6	HCC70	all	600000	101.36281055539378	30826	0.9947328961786173
7	HCC70	all	700000	84.22823866917138	30802	0.9947328961786173
8	HCC70	all	800000	71.54300483675364	30778	0.9947328961786173
9	HCC70	all	900000	61.671633638780314	30754	0.9947328961786173
10	HCC70	all	1000000	53.742484474591286	30730	0.9947328961786173
11	HCC70	all	1100000	47.03844470901663	30706	0.9947328961786173
12	HCC70	all	1200000	41.80787725299527	30682	0.9947328961786173
13	HCC70	all	1300000	37.4399669533273	30658	0.9947328961786173
14	HCC70	all	1400000	33.51208445729176	30634	0.9947328961786173
15	HCC70	all	1500000	30.411810099113104	30610	0.9947328961786173
16	HCC70	all	1600000	27.739087768336663	30586	0.9947328961786173
17	HCC70	all	1700000	25.193795635774002	30562	0.9947328961786173
18	HCC70	all	1800000	23.294257378161376	30538	0.9947328961786173
19	HCC70	all	1900000	21.57227419737202	30514	0.9947328961786173
20	HCC70	all	2000000	20.205870228798922	30490	0.9947328961786173
21	HCC70	all	2100000	18.82093306772484	30466	0.9947328961786173
22	HCC70	all	2200000	17.885515469830796	30442	0.9947328961786173
23	HCC70	all	2300000	16.64515744634151	30418	0.9947328961786173
24	HCC70	all	2400000	15.664869675603764	30394	0.9947328961786173
25	HCC70	all	2500000	14.73811053860822	30370	0.9947328961786173
26	HCC70	all	2600000	14.05683333011008	30346	0.9947328961786173
27	HCC70	all	2700000	13.393775201291906	30322	0.9947328961786173
28	HCC70	all	2800000	12.726817616027871	30298	0.9947328961786173
29	HCC70	all	2900000	12.199194880373065	30274	0.9947328961786173
30	HCC70	all	3000000	11.54003859613776	30250	0.9947328961786173
	Matrix	Chromosome	Distance	Contacts	Number_bins	Scale_factor
0	BT549	all	0	2698.974008335512	30970	0.9862678271564974
1	BT549	all	100000	664.736021008541	30946	0.9862678271564974
2	BT549	all	200000	283.4822569657613	30922	0.9862678271564974
3	BT549	all	300000	188.95334031430306	30898	0.9862678271564974
4	BT549	all	400000	138.1002922040638	30874	0.9862678271564974
5	BT549	all	500000	106.18232432339141	30850	0.9862678271564974
6	BT549	all	600000	84.51870990043287	30826	0.9862678271564974
7	BT549	all	700000	69.69006810259114	30802	0.9862678271564974
8	BT549	all	800000	58.57735760944468	30778	0.9862678271564974
9	BT549	all	900000	50.24863285489653	30754	0.9862678271564974
10	BT549	all	1000000	44.16430797326823	30730	0.9862678271564974
11	BT549	all	1100000	38.5802459164606	30706	0.9862678271564974
12	BT549	all	1200000	34.210857959885026	30682	0.9862678271564974
13	BT549	all	1300000	30.70259847263418	30658	0.9862678271564974
14	BT549	all	1400000	27.67674267123697	30634	0.9862678271564974
15	BT549	all	1500000	25.472063295641245	30610	0.9862678271564974
16	BT549	all	1600000	23.324394134088696	30586	0.9862678271564974
17	BT549	all	1700000	21.268431094722335	30562	0.9862678271564974
18	BT549	all	1800000	19.858329706984303	30538	0.9862678271564974
19	BT549	all	1900000	18.671255183406345	30514	0.9862678271564974
20	BT549	all	2000000	17.380826101647607	30490	0.9862678271564974
21	BT549	all	2100000	16.457662139786198	30466	0.9862678271564974
22	BT549	all	2200000	15.427103576545282	30442	0.9862678271564974
23	BT549	all	2300000	14.484567055720593	30418	0.9862678271564974
24	BT549	all	2400000	13.63926361226927	30394	0.9862678271564974
25	BT549	all	2500000	12.88179932742748	30370	0.9862678271564974
26	BT549	all	2600000	12.375216938173404	30346	0.9862678271564974
27	BT549	all	2700000	11.778608349196146	30322	0.9862678271564974
28	BT549	all	2800000	11.442079848432398	30298	0.9862678271564974
29	BT549	all	2900000	10.99322344746499	30274	0.9862678271564974
30	BT549	all	3000000	10.350788358682284	30250	0.9862678271564974
	Matrix	Chromosome	Distance	Contacts	Number_bins	Scale_factor
0	MB231	all	0	1707.972410567586	30970	1.0
1	MB231	all	100000	800.6907891346196	30946	1.0
2	MB231	all	200000	370.3761489471879	30922	1.0
3	MB231	all	300000	253.28485780979173	30898	1.0
4	MB231	all	400000	188.18789472741796	30874	1.0
5	MB231	all	500000	146.64603814112448	30850	1.0
6	MB231	all	600000	117.649269269664	30826	1.0
7	MB231	all	700000	96.80188527016006	30802	1.0
8	MB231	all	800000	81.15004663873243	30778	1.0
9	MB231	all	900000	69.06616828700722	30754	1.0
10	MB231	all	1000000	59.46862376608712	30730	1.0
11	MB231	all	1100000	51.748179623785454	30706	1.0
12	MB231	all	1200000	45.255889176566576	30682	1.0
13	MB231	all	1300000	40.10298330782176	30658	1.0
14	MB231	all	1400000	35.4446673180517	30634	1.0
15	MB231	all	1500000	31.794439893770672	30610	1.0
16	MB231	all	1600000	28.89998106184439	30586	1.0
17	MB231	all	1700000	25.94539026866339	30562	1.0
18	MB231	all	1800000	23.46747817626877	30538	1.0
19	MB231	all	1900000	21.64091707071362	30514	1.0
20	MB231	all	2000000	20.054411403565073	30490	1.0
21	MB231	all	2100000	18.550027628093858	30466	1.0
22	MB231	all	2200000	17.351024976407505	30442	1.0
23	MB231	all	2300000	15.905670346629295	30418	1.0
24	MB231	all	2400000	14.826066030675365	30394	1.0
25	MB231	all	2500000	13.9680721298163	30370	1.0
26	MB231	all	2600000	13.09762075597161	30346	1.0
27	MB231	all	2700000	12.350316325811356	30322	1.0
28	MB231	all	2800000	11.677746084658192	30298	1.0
29	MB231	all	2900000	11.030616783579603	30274	1.0
30	MB231	all	3000000	10.522235017194113	30250	1.0
