	Matrix	Chromosome	Distance	Contacts	Number_bins	Scale_factor
0	HMEC_rep2	all	0	15501.193527287207	6206	0.9139250731808922
1	HMEC_rep2	all	500000	2590.5263860581276	6182	0.9139250731808922
2	HMEC_rep2	all	1000000	723.327027107131	6158	0.9139250731808922
3	HMEC_rep2	all	1500000	367.86265861032064	6134	0.9139250731808922
4	HMEC_rep2	all	2000000	227.23268456203922	6110	0.9139250731808922
5	HMEC_rep2	all	2500000	159.0034998560131	6086	0.9139250731808922
6	HMEC_rep2	all	3000000	121.6833644208478	6062	0.9139250731808922
	Matrix	Chromosome	Distance	Contacts	Number_bins	Scale_factor
0	HMEC_rep1	all	0	13819.995696399323	6206	0.7717894894085827
1	HMEC_rep1	all	500000	2962.657794674597	6182	0.7717894894085827
2	HMEC_rep1	all	1000000	843.7465554777755	6158	0.7717894894085827
3	HMEC_rep1	all	1500000	421.667465529515	6134	0.7717894894085827
4	HMEC_rep1	all	2000000	256.6188121584516	6110	0.7717894894085827
5	HMEC_rep1	all	2500000	177.83434334440386	6086	0.7717894894085827
6	HMEC_rep1	all	3000000	137.26139696350714	6062	0.7717894894085827
	Matrix	Chromosome	Distance	Contacts	Number_bins	Scale_factor
0	HCC70_rep2	all	0	10365.75590035621	6206	0.652291029258835
1	HCC70_rep2	all	500000	2863.871796418277	6182	0.652291029258835
2	HCC70_rep2	all	1000000	983.9695998954394	6158	0.652291029258835
3	HCC70_rep2	all	1500000	537.4806687341969	6134	0.652291029258835
4	HCC70_rep2	all	2000000	351.202124190404	6110	0.652291029258835
5	HCC70_rep2	all	2500000	257.2035127698893	6086	0.652291029258835
6	HCC70_rep2	all	3000000	204.63993385496326	6062	0.652291029258835
	Matrix	Chromosome	Distance	Contacts	Number_bins	Scale_factor
0	HCC70_rep1	all	0	9908.570053527561	6206	0.6396984122477403
1	HCC70_rep1	all	500000	2875.7159550566394	6182	0.6396984122477403
2	HCC70_rep1	all	1000000	1010.7430530741511	6158	0.6396984122477403
3	HCC70_rep1	all	1500000	555.6345687417803	6134	0.6396984122477403
4	HCC70_rep1	all	2000000	361.7001964776917	6110	0.6396984122477403
5	HCC70_rep1	all	2500000	264.04879379859227	6086	0.6396984122477403
6	HCC70_rep1	all	3000000	207.50798425544957	6062	0.6396984122477403
	Matrix	Chromosome	Distance	Contacts	Number_bins	Scale_factor
0	BT549_rep2	all	0	12225.369882630162	6206	1.0
1	BT549_rep2	all	500000	2557.1951211613323	6182	1.0
2	BT549_rep2	all	1000000	824.2601090472052	6158	1.0
3	BT549_rep2	all	1500000	460.0519935845481	6134	1.0
4	BT549_rep2	all	2000000	308.30602488793863	6110	1.0
5	BT549_rep2	all	2500000	229.646130170874	6086	1.0
6	BT549_rep2	all	3000000	184.29745199988668	6062	1.0
	Matrix	Chromosome	Distance	Contacts	Number_bins	Scale_factor
0	BT549_rep1	all	0	12835.765975391296	6206	0.941920010704083
1	BT549_rep1	all	500000	2522.526618664974	6182	0.941920010704083
2	BT549_rep1	all	1000000	810.2766094263285	6158	0.941920010704083
3	BT549_rep1	all	1500000	448.9940916656239	6134	0.941920010704083
4	BT549_rep1	all	2000000	303.3348128897599	6110	0.941920010704083
5	BT549_rep1	all	2500000	226.6438260441345	6086	0.941920010704083
6	BT549_rep1	all	3000000	180.9618593601216	6062	0.941920010704083
	Matrix	Chromosome	Distance	Contacts	Number_bins	Scale_factor
0	MB231	all	0	9936.87387906404	6206	0.7070389599152573
1	MB231	all	500000	3456.1870227497952	6182	0.7070389599152573
2	MB231	all	1000000	1137.5707356203525	6158	0.7070389599152573
3	MB231	all	1500000	582.9639568163518	6134	0.7070389599152573
4	MB231	all	2000000	359.49623872559255	6110	0.7070389599152573
5	MB231	all	2500000	248.94533927323246	6086	0.7070389599152573
6	MB231	all	3000000	189.60142458705883	6062	0.7070389599152573
